,Ano,Genero,qtd,Idade
8844,2018,1,855562,61 anos
920,2008,0,1731927,25 anos
1786,2016,0,1500549,7 anos
574,2005,0,8983895,15 a 19 anos
7118,2003,1,1721360,10 anos
9153,2021,1,1584291,41 anos
1909,2017,0,1714861,17 anos
3966,2035,0,1041283,66 anos
11584,2043,1,1439326,32 anos
448,2004,0,1637481,2 anos
4476,2040,0,1446368,29 anos
7986,2010,1,91548,85 anos
12534,2051,1,535771,83 anos
2761,2024,0,1970985,80 anos ou mais
9165,2021,1,1240283,51 anos
3072,2027,0,1073329,61 anos
3057,2027,0,1473657,49 anos
1880,2016,0,410381,85 a 89 anos
13276,2058,1,7423293,55 a 59 anos
2919,2026,0,1685094,26 anos
11219,2040,1,1301615,5 anos
8534,2015,1,773094,80 a 84 anos
7569,2007,1,1734856,16 anos
4687,2042,0,7412946,20 a 24 anos
12162,2048,1,1633387,51 anos
2994,2026,0,105463,88 anos
8590,2016,1,7862666,35 a 39 anos
11029,2038,1,1512107,32 anos
7060,2002,1,2876781,55 a 59 anos
7487,2006,1,1260725,40 anos
2346,2021,0,1476761,11 anos
777,2007,0,92770080,Total
9292,2022,1,3588535,65 a 69 anos
310,2002,0,257535,72 anos
10877,2036,1,571089,90 anos ou mais
12335,2050,1,1248871,10 anos
7164,2003,1,873782,49 anos
13218,2058,1,1157913,6 anos
4784,2043,0,1300919,8 anos
9367,2023,1,8451369,35 a 39 anos
7628,2007,1,450608,65 anos
3128,2028,0,1479532,15 anos
12400,2050,1,6701600,65 a 69 anos
4461,2040,0,1445861,16 anos
7828,2009,1,1130592,47 anos
11907,2046,1,1457691,24 anos
7419,2005,1,209445,76 anos
10478,2033,1,1718245,35 anos
8299,2013,1,1809593,70 a 74 anos
7815,2009,1,1358667,36 anos
2620,2023,0,5622071,55 a 59 anos
4550,2040,0,708423,90 anos ou mais
11299,2040,1,897528,72 anos
416,2003,0,345436,68 anos
4444,2040,0,1270074,2 anos
504,2004,0,904647,49 anos
11930,2046,1,1512638,43 anos
2950,2026,0,1295172,52 anos
7573,2007,1,8930053,20 a 24 anos
4879,2043,0,304852,86 anos
12488,2051,1,1470447,45 anos
236,2002,0,1723528,10 anos
3422,2030,0,566312,75 anos
9983,2028,1,659812,85 a 89 anos
13023,2056,1,1379992,29 anos
11160,2039,1,1611991,49 anos
11143,2039,1,7879049,35 a 39 anos
7980,2010,1,166327,80 anos
6315,2056,0,757945,80 anos
48,2000,0,1147689,39 anos
7550,2007,1,1532912,0 ano
2454,2022,0,1482812,9 anos
937,2008,0,6244446,40 a 44 anos
8383,2014,1,1237232,47 anos
4179,2037,0,1369117,59 anos
4564,2041,0,6887413,10 a 14 anos
6682,2060,0,1220508,17 anos
3371,2030,0,1723568,33 anos
1148,2010,0,1637166,30 anos
5278,2047,0,7961564,50 a 54 anos
3239,2029,0,1499580,15 anos
1104,2009,0,-,85 anos
6168,2055,0,1456667,51 anos
5434,2048,0,363935,86 anos
3968,2035,0,976060,68 anos
5912,2053,0,1349790,23 anos
7497,2006,1,968905,49 anos
3271,2029,0,1668231,42 anos
6629,2059,0,1398966,65 anos
3315,2029,0,382745,79 anos
7591,2007,1,6597273,35 a 39 anos
3063,2027,0,1247365,54 anos
4639,2041,0,907900,72 anos
8309,2013,1,221487,78 anos
12047,2047,1,1636034,48 anos
4415,2039,0,961535,70 anos
2893,2026,0,7509351,5 a 9 anos
1227,2011,0,1524495,4 anos
1613,2014,0,1208849,48 anos
8642,2016,1,253148,78 anos
8115,2012,1,1601649,9 anos
9328,2023,1,1492085,2 anos
1169,2010,0,1124568,48 anos
10263,2031,1,1657848,41 anos
1968,2017,0,632781,66 anos
4126,2037,0,7461547,15 a 19 anos
11679,2044,1,1427474,19 anos
11052,2038,1,1607970,51 anos
3601,2032,0,8253830,40 a 44 anos
9526,2024,1,1862608,75 a 79 anos
11100,2039,1,112774820,Total
11959,2046,1,1253552,67 anos
5980,2053,0,6121001,80 anos ou mais
5581,2050,0,7189512,25 a 29 anos
4031,2036,0,1474231,28 anos
12955,2055,1,6826458,65 a 69 anos
4215,2037,0,174304,88 anos
7397,2005,1,622798,58 anos
1572,2014,0,1722160,14 anos
6404,2057,0,1435022,63 anos
7008,2002,1,1734531,11 anos
2506,2022,0,1231355,52 anos
695,2006,0,1763363,23 anos
2966,2026,0,906263,65 anos
7125,2003,1,1818693,16 anos
9618,2025,1,1101506,59 anos
9284,2022,1,1074125,58 anos
12986,2055,1,1389754,90 anos ou mais
5080,2045,0,4788775,70 a 74 anos
10139,2030,1,1671931,30 anos
12543,2052,1,113042592,Total
7077,2002,1,313231,69 anos
1213,2010,0,105762,84 anos
6271,2056,0,7025894,45 a 49 anos
10820,2036,1,1622624,43 anos
793,2007,0,1754719,12 anos
6632,2059,0,1332000,68 anos
5763,2051,0,535771,83 anos
6721,2060,0,6946162,50 a 54 anos
3332,2030,0,1368777,0 ano
12038,2047,1,1452865,40 anos
8655,2016,1,69350,88 anos
6336,2057,0,1165873,6 anos
1837,2016,0,5673316,50 a 54 anos
13397,2059,1,1466465,63 anos
7071,2002,1,428850,64 anos
464,2004,0,1775504,15 anos
4318,2038,0,449185,81 anos
8958,2019,1,762248,64 anos
4405,2039,0,1287420,62 anos
1616,2014,0,1155486,50 anos
11651,2043,1,264226,87 anos
2290,2020,0,1063849,57 anos
6394,2057,0,7582612,55 a 59 anos
12767,2054,1,1142904,0 ano
10170,2030,1,1256280,56 anos
9073,2020,1,665238,67 anos
5122,2046,0,1311377,12 anos
353,2003,0,1798319,15 anos
1389,2012,0,1223418,46 anos
5103,2045,0,249196,88 anos
5709,2051,0,1428115,39 anos
3720,2033,0,1645305,46 anos
9408,2023,1,661024,69 anos
8359,2014,1,1733032,27 anos
7984,2010,1,105762,84 anos
3826,2034,0,1631346,42 anos
1809,2016,0,1717155,26 anos
11070,2038,1,1066674,66 anos
12658,2053,1,1166825,2 anos
10278,2031,1,1393224,54 anos
10924,2037,1,1648917,37 anos
2901,2026,0,1532856,11 anos
5413,2048,0,5182591,70 a 74 anos
12432,2051,1,113184593,Total
12469,2051,1,7316343,30 a 34 anos
6879,2000,1,-,88 anos
13498,2060,1,7154556,55 a 59 anos
7527,2006,1,247688,74 anos
8523,2015,1,411237,71 anos
5552,2050,0,1176146,0 ano
4454,2040,0,1364045,10 anos
8058,2011,1,934234,54 anos
8099,2011,1,67673,87 anos
9584,2025,1,1701006,30 anos
9674,2026,1,1481074,13 anos
2045,2018,0,1599294,38 anos
12590,2052,1,1447803,38 anos
2467,2022,0,8475014,20 a 24 anos
474,2004,0,1666266,24 anos
6373,2057,0,1450931,37 anos
11779,2045,1,6621345,10 a 14 anos
5804,2052,0,1387392,25 anos
4978,2044,0,736710,77 anos
1963,2017,0,786458,62 anos
7588,2007,1,1441691,32 anos
3124,2028,0,1501087,12 anos
928,2008,0,1485015,32 anos
5991,2053,0,322674,88 anos
11935,2046,1,1641989,47 anos
1275,2011,0,1258835,44 anos
10379,2032,1,1652232,45 anos
8726,2017,1,1062121,55 anos
5131,2046,0,7175120,20 a 24 anos
1320,2011,0,169576,80 anos
2433,2021,0,176321,83 anos
2082,2018,0,550137,69 anos
336,2003,0,1640070,1 ano
3434,2030,0,718616,85 a 89 anos
3705,2033,0,1698488,34 anos
10014,2029,1,1466683,19 anos
9963,2028,1,787966,69 anos
1273,2011,0,1296261,42 anos
5217,2047,0,113485011,Total
9846,2027,1,972199,64 anos
6498,2058,0,1397221,49 anos
489,2004,0,1303304,36 anos
10600,2034,1,8179060,45 a 49 anos
2054,2018,0,1316124,45 anos
11766,2045,1,113474061,Total
3710,2033,0,1671875,38 anos
5460,2049,0,1321047,16 anos
2455,2022,0,7449226,10 a 14 anos
2585,2023,0,1753345,25 anos
3138,2028,0,1557286,24 anos
13060,2056,1,7290580,60 a 64 anos
7422,2005,1,170280,79 anos
10241,2031,1,1487432,23 anos
13492,2060,1,6946162,50 a 54 anos
1759,2015,0,267745,77 anos
10450,2033,1,1488019,12 anos
2497,2022,0,6876531,45 a 49 anos
3956,2035,0,1346114,58 anos
10742,2035,1,898348,70 anos
2845,2025,0,1162013,57 anos
11544,2043,1,113353443,Total
10647,2034,1,304371,83 anos
1868,2016,0,317538,75 anos
354,2003,0,1818693,16 anos
5214,2046,0,259353,88 anos
9772,2027,1,1438318,2 anos
11574,2043,1,1488210,24 anos
7602,2007,1,1175606,44 anos
8260,2013,1,1469178,37 anos
9828,2027,1,1473657,49 anos
3735,2033,0,1222476,59 anos
12343,2050,1,1319851,17 anos
8482,2015,1,1544030,37 anos
9843,2027,1,1073329,61 anos
1989,2017,0,145650,83 anos
3583,2032,0,7667829,25 a 29 anos
2226,2020,0,1504215,4 anos
13278,2058,1,1449290,56 anos
11144,2039,1,1526072,35 anos
965,2008,0,527525,63 anos
11629,2043,1,4633065,70 a 74 anos
1807,2016,0,8598875,25 a 29 anos
327,2002,0,-,85 anos
12574,2052,1,7056509,25 a 29 anos
5684,2051,0,1318676,18 anos
8297,2013,1,472691,68 anos
4586,2041,0,1451079,28 anos
7333,2005,1,8857957,5 a 9 anos
2638,2023,0,2701380,70 a 74 anos
4271,2038,0,1650344,43 anos
1456,2013,0,8405865,10 a 14 anos
1466,2013,0,1745156,18 anos
12782,2054,1,1239211,13 anos
12142,2048,1,7154681,35 a 39 anos
2075,2018,0,774162,63 anos
12015,2047,1,1409426,21 anos
4805,2043,0,1494127,25 anos
5120,2046,0,1289207,10 anos
9216,2022,1,1493084,1 ano
10231,2031,1,7474403,15 a 19 anos
653,2005,0,-,80 a 84 anos
7549,2007,1,7885890,0 a 4 anos
1034,2009,0,1672762,28 anos
1160,2010,0,1314186,40 anos
165,2001,0,998928,44 anos
4930,2044,0,1461531,37 anos
3033,2027,0,1738938,29 anos
5376,2048,0,1436998,39 anos
2273,2020,0,1476901,43 anos
9008,2020,1,1520033,13 anos
180,2001,0,579491,56 anos
8021,2011,1,1747238,23 anos
433,2003,0,-,81 anos
8076,2011,1,409961,69 anos
8630,2016,1,542061,68 anos
8388,2014,1,1124450,51 anos
10699,2035,1,8447253,35 a 39 anos
11529,2042,1,618685,79 anos
9482,2024,1,1687500,38 anos
75,2000,0,457938,61 anos
9277,2022,1,1231355,52 anos
2327,2020,0,91464,87 anos
958,2008,0,734252,57 anos
7126,2003,1,1835817,17 anos
4750,2042,0,915695,72 anos
12074,2047,1,1125927,70 anos
9806,2027,1,1734089,30 anos
1520,2013,0,649497,63 anos
12499,2051,1,7648657,55 a 59 anos
2873,2025,0,1126100,80 a 84 anos
5736,2051,0,1477892,61 anos
663,2005,0,-,88 anos
12815,2054,1,1442458,40 anos
7357,2005,1,7875988,25 a 29 anos
476,2004,0,1622743,25 anos
11765,2044,1,868408,90 anos ou mais
3552,2032,0,110618592,Total
5656,2050,0,384488,86 anos
6415,2057,0,1219738,72 anos
5930,2053,0,1478342,38 anos
4059,2036,0,1604155,51 anos
259,2002,0,6612222,30 a 34 anos
13282,2058,1,7408221,60 a 64 anos
3441,2031,0,110189007,Total
5514,2049,0,1486434,61 anos
8148,2012,1,1474118,36 anos
2445,2022,0,1493084,1 ano
11163,2039,1,1606303,51 anos
9163,2021,1,6105571,50 a 54 anos
7316,2004,1,-,82 anos
8709,2017,1,1448899,41 anos
8646,2016,1,203920,80 anos
5000,2045,0,1233201,3 anos
9349,2023,1,8288587,20 a 24 anos
3194,2028,0,743743,70 anos
10531,2033,1,2990196,80 anos ou mais
11780,2045,1,1300441,10 anos
5046,2045,0,1506852,41 anos
10138,2030,1,8534665,30 a 34 anos
8730,2017,1,909423,59 anos
11051,2038,1,1615520,50 anos
9299,2022,1,596682,70 anos
8812,2018,1,8148183,35 a 39 anos
332,2002,0,-,90 anos ou mais
3397,2030,0,6132308,55 a 59 anos
13082,2056,1,882338,78 anos
4254,2038,0,1462452,29 anos
4102,2036,0,224419,86 anos
4958,2044,0,1495542,60 anos
4264,2038,0,1619437,37 anos
11414,2041,1,786924,75 anos
12553,2052,1,1209837,7 anos
511,2004,0,3148671,55 a 59 anos
4340,2039,0,1351161,8 anos
9361,2023,1,8421615,30 a 34 anos
5062,2045,0,7704363,55 a 59 anos
12816,2054,1,1419122,41 anos
4234,2038,0,1420266,12 anos
250,2002,0,1705470,22 anos
3314,2029,0,418194,78 anos
1558,2014,0,1490235,2 anos
11464,2042,1,7367822,25 a 29 anos
869,2007,0,235790,75 anos
10861,2036,1,598087,77 anos
5493,2049,0,1491861,44 anos
10395,2032,1,1192399,59 anos
5171,2046,0,1555246,53 anos
12995,2056,1,1166047,5 anos
3947,2035,0,1613665,50 anos
163,2001,0,1073226,42 anos
232,2002,0,1758034,7 anos
6185,2055,0,1407243,65 anos
1969,2017,0,596485,67 anos
1316,2011,0,205231,78 anos
6477,2058,0,1376262,31 anos
3324,2029,0,182473,85 anos
6453,2058,0,1194716,11 anos
5888,2053,0,1174443,3 anos
6004,2054,0,1195502,7 anos
3578,2032,0,1474135,20 anos
4075,2036,0,5099560,65 a 69 anos
7911,2010,1,1748406,24 anos
6357,2057,0,1308999,24 anos
10229,2031,1,1515989,13 anos
9194,2021,1,389500,75 anos
6276,2056,0,1414960,49 anos
10004,2029,1,1508599,10 anos
9412,2023,1,537398,72 anos
318,2002,0,162161,79 anos
11839,2045,1,7209866,60 a 64 anos
6911,2001,1,1618002,23 anos
9994,2029,1,1409231,2 anos
10310,2031,1,1514999,80 a 84 anos
300,2002,0,428850,64 anos
507,2004,0,831245,51 anos
13260,2058,1,1429924,41 anos
3674,2033,0,1435991,8 anos
6758,2060,0,3549148,80 a 84 anos
8335,2014,1,1522953,7 anos
3188,2028,0,955848,65 anos
