,Ano,Genero,qtd,Idade
9813,2027,1,1669885,36 anos
411,2003,0,435657,64 anos
8765,2017,1,82271,87 anos
7408,2005,1,398864,67 anos
3495,2031,0,1658188,44 anos
2168,2019,0,1272096,48 anos
3036,2027,0,1712749,31 anos
10460,2033,1,1470357,20 anos
8620,2016,1,3805186,60 a 64 anos
6904,2001,1,1840982,17 anos
11140,2039,1,1474878,32 anos
8841,2018,1,936889,59 anos
960,2008,0,669476,59 anos
4836,2043,0,1575637,51 anos
2626,2023,0,4748149,60 a 64 anos
1817,2016,0,1696038,33 anos
6852,2000,1,351656,66 anos
5457,2049,0,1299359,14 anos
11293,2040,1,1062992,67 anos
12280,2049,1,1515804,57 anos
1871,2016,0,253148,78 anos
11525,2042,1,803934,75 anos
1004,2009,0,1565221,3 anos
8250,2013,1,1723377,29 anos
5592,2050,0,1458649,34 anos
5954,2053,0,1528460,58 anos
6019,2054,0,6628106,20 a 24 anos
5599,2050,0,7197348,40 a 44 anos
13389,2059,1,1427237,56 anos
10293,2031,1,975176,66 anos
9851,2027,1,804052,68 anos
11631,2043,1,958927,71 anos
8322,2013,1,61540,88 anos
3129,2028,0,1481666,16 anos
2573,2023,0,1506405,15 anos
3905,2035,0,1496615,15 anos
12757,2053,1,508891,84 anos
1,2000,0,8919229,0 a 4 anos
10501,2033,1,6603964,55 a 59 anos
12993,2056,1,1158288,4 anos
5379,2048,0,1449303,41 anos
8617,2016,1,958122,57 anos
13214,2058,1,1131844,3 anos
10197,2030,1,398819,79 anos
4128,2037,0,1484716,16 anos
11965,2046,1,972157,72 anos
12463,2051,1,7124285,25 a 29 anos
11666,2044,1,1289674,8 anos
10343,2032,1,1487659,15 anos
6934,2001,1,1073226,42 anos
7414,2005,1,277727,72 anos
5211,2046,0,389215,85 anos
10814,2036,1,1707142,38 anos
8547,2016,1,100379640,Total
8536,2015,1,171951,81 anos
639,2005,0,350692,69 anos
5,2000,0,1800588,3 anos
5141,2046,0,1487489,28 anos
4518,2040,0,1220886,64 anos
7526,2006,1,266510,73 anos
694,2006,0,1792706,22 anos
4537,2040,0,4089058,80 anos ou mais
2514,2022,0,1041838,59 anos
2108,2018,0,240102,90 anos ou mais
11227,2040,1,1391212,12 anos
5864,2052,0,974026,75 anos
8990,2019,1,252916,90 anos ou mais
12112,2048,1,6445082,10 a 14 anos
5366,2048,0,1483170,30 anos
7462,2006,1,8921726,20 a 24 anos
12560,2052,1,1257473,13 anos
4377,2039,0,1642160,39 anos
3486,2031,0,1679384,36 anos
3666,2033,0,1340227,1 ano
2502,2022,0,1289590,49 anos
9242,2022,1,1736435,23 anos
3794,2034,0,1505987,15 anos
10261,2031,1,8290745,40 a 44 anos
11678,2044,1,1414558,18 anos
10884,2037,1,1325649,4 anos
10305,2031,1,540280,76 anos
23,2000,0,1811913,18 anos
4283,2038,0,1585620,53 anos
1532,2013,0,338179,73 anos
1665,2015,0,99581002,Total
11505,2042,1,1500059,59 anos
9929,2028,1,1676001,40 anos
4123,2037,0,1434698,12 anos
8626,2016,1,2883883,65 a 69 anos
7781,2009,1,1694247,8 anos
4259,2038,0,1527263,33 anos
355,2003,0,1835817,17 anos
11480,2042,1,1516980,38 anos
3983,2035,0,1799420,80 a 84 anos
9420,2023,1,286569,79 anos
121,2001,0,1737215,7 anos
5018,2045,0,1400245,18 anos
8509,2015,1,3674713,60 a 64 anos
6376,2057,0,7182135,40 a 44 anos
13521,2060,1,1159766,74 anos
11440,2042,1,6507477,5 a 9 anos
995,2008,0,-,87 anos
5008,2045,0,6621345,10 a 14 anos
12051,2047,1,1615591,51 anos
8074,2011,1,463693,67 anos
4603,2041,0,1667941,42 anos
10678,2035,1,1511179,17 anos
3761,2033,0,1652852,80 a 84 anos
4666,2042,0,1250901,2 anos
1414,2012,0,484869,67 anos
3337,2030,0,7318878,5 a 9 anos
5701,2051,0,1470888,32 anos
3555,2032,0,1353864,1 ano
12334,2050,1,6339911,10 a 14 anos
2851,2025,0,999820,62 anos
12506,2051,1,1488361,60 anos
546,2004,0,-,83 anos
11020,2038,1,7274594,25 a 29 anos
6814,2000,1,6004755,35 a 39 anos
1103,2009,0,-,85 a 89 anos
8897,2019,1,1559213,13 anos
2007,2018,0,1487937,6 anos
12213,2049,1,1190292,1 ano
5066,2045,0,1532159,58 anos
3754,2033,0,2697044,75 a 79 anos
11721,2044,1,1569265,54 anos
7369,2005,1,6483960,35 a 39 anos
10247,2031,1,1559899,28 anos
9427,2023,1,167838,84 anos
7927,2010,1,1358332,37 anos
12912,2055,1,1393905,29 anos
7254,2004,1,1360777,31 anos
4195,2037,0,847137,72 anos
11623,2043,1,5802391,65 a 69 anos
12092,2047,1,1566262,85 a 89 anos
4925,2044,0,1437036,33 anos
4980,2044,0,647110,79 anos
2576,2023,0,1569639,18 anos
1823,2016,0,1539258,38 anos
9606,2025,1,1399438,49 anos
4736,2042,0,1465106,60 anos
13185,2057,1,1256533,71 anos
3480,2031,0,1668651,31 anos
10254,2031,1,1720203,34 anos
1224,2011,0,1482606,1 ano
876,2007,0,-,80 anos
9191,2021,1,463438,73 anos
9551,2025,1,1479390,3 anos
12582,2052,1,1454582,31 anos
11889,2046,1,1278490,9 anos
10141,2030,1,1728466,32 anos
11731,2044,1,1429877,62 anos
8186,2012,1,451815,68 anos
11394,2041,1,1480214,59 anos
8063,2011,1,779136,58 anos
13071,2056,1,1321905,69 anos
278,2002,0,992918,45 anos
9224,2022,1,1503222,8 anos
4599,2041,0,1551710,39 anos
7075,2002,1,354493,67 anos
12483,2051,1,1410725,41 anos
2375,2021,0,1700899,35 anos
8764,2017,1,95678,86 anos
13314,2058,1,493190,85 anos
9595,2025,1,8222214,40 a 44 anos
6534,2058,0,866968,79 anos
4968,2044,0,1086318,69 anos
7270,2004,1,4901064,45 a 49 anos
9085,2020,1,303366,77 anos
9338,2023,1,1482403,10 anos
9544,2024,1,79959,89 anos
8888,2019,1,1504300,5 anos
4446,2040,0,1290634,4 anos
12178,2048,1,6516731,65 a 69 anos
10487,2033,1,1648163,43 anos
11067,2038,1,1148943,64 anos
10612,2034,1,6783080,55 a 59 anos
10862,2036,1,552386,78 anos
7686,2008,1,1791274,21 anos
7122,2003,1,1775278,14 anos
5113,2046,0,6296474,5 a 9 anos
8454,2015,1,1689971,14 anos
5750,2051,0,1064692,73 anos
10354,2032,1,7667829,25 a 29 anos
3843,2034,0,1405438,56 anos
2120,2019,0,1482093,8 anos
10659,2035,1,1314917,1 ano
6892,2001,1,1737215,7 anos
11442,2042,1,1290134,6 anos
5057,2045,0,1608593,50 anos
11797,2045,1,7380713,25 a 29 anos
9311,2022,1,1012641,80 a 84 anos
7281,2004,1,731471,54 anos
1073,2009,0,661074,60 anos
4669,2042,0,6507477,5 a 9 anos
12666,2053,1,1216855,9 anos
9979,2028,1,293148,81 anos
3195,2028,0,696396,71 anos
7592,2007,1,1338746,35 anos
3814,2034,0,1573076,32 anos
7445,2006,1,1697219,5 anos
6621,2059,0,1497870,59 anos
10433,2032,1,471355,90 anos ou mais
12566,2052,1,1306600,18 anos
7859,2009,1,301222,73 anos
2580,2023,0,1607296,21 anos
4034,2036,0,1517479,30 anos
12901,2055,1,6565701,20 a 24 anos
1500,2013,0,1244580,46 anos
12914,2055,1,1405837,30 anos
2208,2019,0,229579,80 anos
11826,2045,1,1631621,49 anos
4693,2042,0,7367822,25 a 29 anos
3689,2033,0,1470357,20 anos
3106,2027,0,94337,89 anos
6265,2056,0,7174123,40 a 44 anos
590,2005,0,1534942,28 anos
10800,2036,1,1448841,26 anos
9550,2025,1,1466598,2 anos
9543,2024,1,94583,88 anos
7956,2010,1,651585,61 anos
3331,2030,0,6975778,0 a 4 anos
11484,2042,1,1605031,41 anos
11215,2040,1,1270074,2 anos
6449,2058,0,1173450,8 anos
13111,2057,1,6044568,10 a 14 anos
8347,2014,1,1780458,17 anos
4888,2044,0,1233583,2 anos
1429,2012,0,1230194,80 anos ou mais
2065,2018,0,5059761,55 a 59 anos
5832,2052,0,1483132,49 anos
9134,2021,1,1734509,25 anos
384,2003,0,1166903,41 anos
9065,2020,1,950842,60 anos
7477,2006,1,1396109,32 anos
5849,2052,0,1448834,63 anos
7027,2002,1,1452096,27 anos
12779,2054,1,1216643,10 anos
9915,2028,1,1715126,29 anos
8004,2011,1,1627945,9 anos
9400,2023,1,948980,62 anos
8208,2012,1,98501,85 anos
5965,2053,0,1365070,67 anos
8702,2017,1,1667767,35 anos
973,2008,0,1578779,70 a 74 anos
3836,2034,0,1610264,50 anos
7691,2008,1,1731927,25 anos
13100,2057,1,1114207,0 ano
7323,2004,1,-,88 anos
8689,2017,1,8555561,25 a 29 anos
12317,2049,1,329438,87 anos
5142,2046,0,1458621,29 anos
4718,2042,0,1674159,45 anos
5539,2049,0,610425,81 anos
2980,2026,0,405474,77 anos
596,2005,0,1339515,33 anos
926,2008,0,1569703,30 anos
4612,2041,0,7953589,50 a 54 anos
13271,2058,1,1399375,50 anos
4032,2036,0,1482629,29 anos
4795,2043,0,1415925,17 anos
3918,2035,0,1469892,26 anos
2377,2021,0,1688185,37 anos
10257,2031,1,1679384,36 anos
3424,2030,0,475820,77 anos
3492,2031,0,1657848,41 anos
6821,2000,1,1115038,40 anos
11487,2042,1,1681604,44 anos
10489,2033,1,8179855,45 a 49 anos
5474,2049,0,1460784,28 anos
4204,2037,0,3592036,80 anos ou mais
7596,2007,1,1301517,39 anos
1489,2013,0,1469178,37 anos
6871,2000,1,-,81 anos
2348,2021,0,1508174,13 anos
282,2002,0,843449,49 anos
227,2002,0,1776084,3 anos
3430,2030,0,322377,81 anos
12755,2053,1,591634,82 anos
12784,2054,1,6374235,15 a 19 anos
1648,2014,0,257798,77 anos
9634,2025,1,580422,72 anos
1633,2014,0,2661907,65 a 69 anos
5085,2045,0,873884,74 anos
4224,2038,0,1313429,4 anos
1346,2012,0,1627348,10 anos
11683,2044,1,1462015,22 anos
6077,2054,0,1341969,68 anos
8667,2017,1,1482804,6 anos
516,2004,0,559312,59 anos
5521,2049,0,1328234,67 anos
2473,2022,0,8563553,25 a 29 anos
9609,2025,1,1303967,51 anos
1637,2014,0,494757,68 anos
7215,2004,1,89831973,Total
10410,2032,1,791151,71 anos
12837,2054,1,1516775,59 anos
6935,2001,1,1036541,43 anos
11735,2044,1,1298884,65 anos
5572,2050,0,1319851,17 anos
2928,2026,0,1664441,34 anos
10484,2033,1,1636494,40 anos
12486,2051,1,1438868,44 anos
76,2000,0,443478,62 anos
13286,2058,1,1451633,63 anos
11123,2039,1,1481618,18 anos
12191,2048,1,864703,75 anos
12588,2052,1,1453812,36 anos
3573,2032,0,1497469,16 anos
540,2004,0,169261,79 anos
10336,2032,1,7486634,10 a 14 anos
5950,2053,0,7769208,55 a 59 anos
1594,2014,0,1681244,32 anos
11334,2041,1,1337366,9 anos
69,2000,0,553447,56 anos
10571,2034,1,1490448,20 anos
2932,2026,0,1683035,37 anos
1962,2017,0,826986,61 anos
1018,2009,0,8670137,15 a 19 anos
10764,2035,1,157137,88 anos
4295,2038,0,1200655,63 anos
7059,2002,1,680800,54 anos
6413,2057,0,1293366,70 anos
7572,2007,1,1801098,19 anos
4949,2044,0,1570053,53 anos
4764,2042,0,422545,83 anos
2827,2025,0,1653276,42 anos
8056,2011,1,1008524,52 anos
12756,2053,1,548515,83 anos
1402,2012,0,844308,57 anos
480,2004,0,1445068,29 anos
12766,2054,1,5793447,0 a 4 anos
11822,2045,1,1616417,45 anos
9652,2025,1,136302,86 anos
10064,2029,1,1137493,60 anos
3975,2035,0,723517,74 anos
12125,2048,1,1382841,20 anos
4904,2044,0,1375549,15 anos
12961,2055,1,6002895,70 a 74 anos
10223,2031,1,1464134,8 anos
10686,2035,1,1458354,24 anos
12072,2047,1,1182716,69 anos
10982,2037,1,1033177,85 a 89 anos
4238,2038,0,1461111,15 anos
9006,2020,1,1498869,11 anos
11652,2043,1,228770,88 anos
912,2008,0,1778439,19 anos
5752,2051,0,4119269,75 a 79 anos
11064,2038,1,1303673,61 anos
13298,2058,1,1187503,73 anos
8001,2011,1,1582023,6 anos
9866,2027,1,1242110,80 a 84 anos
10066,2029,1,1079414,62 anos
6469,2058,0,6648312,25 a 29 anos
8919,2019,1,1713242,31 anos
2922,2026,0,1737651,29 anos
2335,2021,0,1512039,2 anos
5942,2053,0,1471861,48 anos
6565,2059,0,1194499,12 anos
664,2005,0,-,89 anos
4194,2037,0,889735,71 anos
3874,2034,0,381255,81 anos
1490,2013,0,1425553,38 anos
6300,2056,0,1321905,69 anos
9780,2027,1,1517595,9 anos
7174,2003,1,599846,57 anos
8641,2016,1,273875,77 anos
13539,2060,1,361517,88 anos
6281,2056,0,1454389,53 anos
5061,2045,0,1561584,54 anos
6714,2060,0,1430926,44 anos
10084,2029,1,456994,77 anos
1882,2016,0,93074,86 anos
1095,2009,0,178350,79 anos
802,2007,0,8930053,20 a 24 anos
1064,2009,0,910705,53 anos
11053,2038,1,1597401,52 anos
1028,2009,0,1768059,23 anos
8457,2015,1,1759173,16 anos
4865,2043,0,817955,75 anos
3074,2027,0,1006705,63 anos
6148,2055,0,7269639,35 a 39 anos
4549,2040,0,172269,89 anos
6057,2054,0,1469208,51 anos
12529,2051,1,5866293,80 anos ou mais
6240,2056,0,1272147,19 anos
2149,2019,0,1712585,32 anos
12346,2050,1,6895815,20 a 24 anos
11521,2042,1,915695,72 anos
6985,2001,1,-,84 anos
10358,2032,1,1545563,28 anos
3938,2035,0,1626733,43 anos
13121,2057,1,1253364,18 anos
9060,2020,1,1096849,56 anos
10207,2030,1,163599,86 anos
8550,2016,1,1538105,1 ano
8178,2012,1,695570,61 anos
3919,2035,0,1476777,27 anos
3538,2031,0,2722640,80 anos ou mais
1041,2009,0,1440821,34 anos
8410,2014,1,1859518,70 a 74 anos
13230,2058,1,1229028,16 anos
11506,2042,1,6887959,60 a 64 anos
1906,2017,0,8552810,15 a 19 anos
1292,2011,0,779136,58 anos
12633,2052,1,1036040,74 anos
6847,2000,1,443478,62 anos
7322,2004,1,-,87 anos
12712,2053,1,1460182,47 anos
12524,2051,1,945835,75 anos
10518,2033,1,902974,69 anos
2554,2023,0,7455164,0 a 4 anos
5419,2048,0,3884676,75 a 79 anos
10239,2031,1,1461686,21 anos
9658,2026,1,7263006,0 a 4 anos
5861,2052,0,1089950,73 anos
7626,2007,1,474832,64 anos
4834,2043,0,7888179,50 a 54 anos
7837,2009,1,3814863,55 a 59 anos
10765,2035,1,133247,89 anos
1582,2014,0,1709067,22 anos
3458,2031,0,1515989,13 anos
2239,2020,0,8042202,15 a 19 anos
1079,2009,0,486948,65 anos
2598,2023,0,1696356,36 anos
3748,2033,0,3847628,70 a 74 anos
7898,2010,1,1789370,13 anos
3116,2028,0,1465087,5 anos
9353,2023,1,1695645,23 anos
6002,2054,0,1181730,5 anos
5087,2045,0,835234,75 anos
4796,2043,0,1428857,18 anos
8890,2019,1,1487591,7 anos
7079,2002,1,293729,70 anos
881,2007,0,-,85 a 89 anos
11967,2046,1,881582,74 anos
207,2001,0,147912,79 anos
7919,2010,1,1637166,30 anos
5817,2052,0,1453812,36 anos
6253,2056,0,7075362,30 a 34 anos
11994,2047,1,1225310,4 anos
8104,2012,1,7477567,0 a 4 anos
13201,2057,1,534444,84 anos
11604,2043,1,1598300,49 anos
12900,2055,1,1282980,19 anos
3136,2028,0,1539928,22 anos
11312,2040,1,435968,82 anos
4601,2041,0,1609205,40 anos
13135,2057,1,7008494,30 a 34 anos
12690,2053,1,1421441,29 anos
6189,2055,0,1319352,69 anos
11021,2038,1,1458004,25 anos
7816,2009,1,1337887,37 anos
4709,2042,0,1516980,38 anos
12319,2049,1,252435,89 anos
13395,2059,1,1519950,61 anos
7595,2007,1,1311454,38 anos
2227,2020,0,7491634,5 a 9 anos
8849,2018,1,696072,65 anos
8867,2018,1,881564,80 a 84 anos
4209,2037,0,346567,83 anos
12202,2048,1,460909,84 anos
2023,2018,0,8716490,20 a 24 anos
10885,2037,1,6825161,5 a 9 anos
10412,2032,1,700931,73 anos
3496,2031,0,8128987,45 a 49 anos
11263,2040,1,1690414,42 anos
9615,2025,1,1184539,56 anos
11329,2041,1,6566392,5 a 9 anos
5486,2049,0,1424543,38 anos
1537,2013,0,245108,77 anos
4663,2042,0,6257751,0 a 4 anos
6007,2054,0,6158737,10 a 14 anos
935,2008,0,1317449,38 anos
6209,2055,0,1917047,85 a 89 anos
12292,2049,1,1328234,67 anos
10268,2031,1,1651462,45 anos
4547,2040,0,231694,87 anos
11092,2038,1,323738,84 anos
29,2000,0,1577317,23 anos
6527,2058,0,1187503,73 anos
183,2001,0,495916,59 anos
1136,2010,0,1744496,20 anos
12418,2050,1,5730279,80 anos ou mais
1173,2010,0,1017780,51 anos
781,2007,0,1586977,2 anos
5818,2052,0,1480872,37 anos
12849,2054,1,1315797,69 anos
10876,2036,1,141497,89 anos
3902,2035,0,1475727,13 anos
12593,2052,1,1425214,40 anos
12858,2054,1,959509,76 anos
5674,2051,0,6290699,10 a 14 anos
8518,2015,1,555266,67 anos
8923,2019,1,8260741,35 a 39 anos
6040,2054,0,1440691,37 anos
10892,2037,1,1406454,10 anos
8898,2019,1,1577771,14 anos
222,2002,0,87758210,Total
8656,2016,1,59101,89 anos
10292,2031,1,1013436,65 anos
7383,2005,1,1049195,46 anos
7511,2006,1,578528,60 anos
9903,2028,1,1488397,19 anos
10778,2036,1,1392431,8 anos
2763,2024,0,269074,80 anos
11282,2040,1,1492590,58 anos
5218,2047,0,6056997,0 a 4 anos
13074,2056,1,1252963,71 anos
1363,2012,0,8657414,25 a 29 anos
11503,2042,1,1539764,57 anos
3383,2030,0,1663159,43 anos
3813,2034,0,1551240,31 anos
2432,2021,0,195947,82 anos
2946,2026,0,1437607,49 anos
4797,2043,0,1441564,19 anos
3275,2029,0,1646483,45 anos
10213,2031,1,6905062,0 a 4 anos
7086,2002,1,204584,76 anos
3379,2030,0,8314471,40 a 44 anos
6670,2060,0,1149444,7 anos
9066,2020,1,910596,61 anos
6258,2056,0,1437258,34 anos
8787,2018,1,1583201,14 anos
7873,2009,1,-,84 anos
11217,2040,1,1290634,4 anos
9452,2024,1,1479936,13 anos
2650,2023,0,1893384,80 anos ou mais
11675,2044,1,1375549,15 anos
3289,2029,0,1197636,57 anos
6708,2060,0,1436796,39 anos
438,2003,0,-,85 anos
6119,2055,0,1209257,10 anos
9022,2020,1,8484394,25 a 29 anos
9205,2021,1,156099,84 anos
5224,2047,0,6249795,5 a 9 anos
6313,2056,0,6547988,80 anos ou mais
175,2001,0,717611,52 anos
11778,2045,1,1289453,9 anos
11432,2041,1,746158,90 anos ou mais
13087,2056,1,688919,81 anos
12511,2051,1,6762068,65 a 69 anos
10021,2029,1,8031009,25 a 29 anos
12350,2050,1,1391246,23 anos
5489,2049,0,1433969,40 anos
4785,2043,0,1312194,9 anos
4484,2040,0,1521790,35 anos
7166,2003,1,837569,50 anos
11148,2039,1,1642160,39 anos
4202,2037,0,571765,78 anos
11204,2039,1,1131002,85 a 89 anos
6953,2001,1,517899,58 anos
8746,2017,1,415643,72 anos
6728,2060,0,1422681,55 anos
11248,2040,1,7340229,30 a 34 anos
3433,2030,0,223061,84 anos
8526,2015,1,332528,74 anos
4452,2040,0,1350912,9 anos
764,2006,0,-,80 a 84 anos
2165,2019,0,1347547,45 anos
7891,2010,1,1602699,7 anos
13251,2058,1,1411655,34 anos
7394,2005,1,724642,55 anos
6675,2060,0,1180605,11 anos
10187,2030,1,791694,70 anos
3979,2035,0,577976,77 anos
4046,2036,0,1679700,40 anos
12632,2052,1,1089950,73 anos
2302,2020,0,665238,67 anos
1232,2011,0,1602168,8 anos
8159,2012,1,1252150,45 anos
1084,2009,0,1637964,70 a 74 anos
9011,2020,1,1576353,15 anos
2492,2022,0,1644596,40 anos
1353,2012,0,1766208,16 anos
7675,2008,1,1771764,12 anos
2575,2023,0,1552915,17 anos
13184,2057,1,1293366,70 anos
5502,2049,0,1635768,51 anos
9672,2026,1,1532856,11 anos
7209,2003,1,-,85 anos
11987,2046,1,957358,90 anos ou mais
9447,2024,1,1533711,9 anos
12264,2049,1,1491861,44 anos
8583,2016,1,1724407,29 anos
4455,2040,0,1377278,11 anos
182,2001,0,517899,58 anos
8695,2017,1,8545686,30 a 34 anos
5099,2045,0,1457337,85 a 89 anos
2856,2025,0,837837,66 anos
5271,2047,0,1508904,44 anos
11241,2040,1,1480761,24 anos
5478,2049,0,1480959,31 anos
5835,2052,0,1550522,51 anos
2362,2021,0,8508378,25 a 29 anos
8771,2018,1,1524054,0 ano
7039,2002,1,1245638,37 anos
8054,2011,1,1081351,50 anos
12808,2054,1,7299496,35 a 39 anos
2975,2026,0,562118,73 anos
8512,2015,1,733069,62 anos
11271,2040,1,1603741,49 anos
3450,2031,0,1436584,6 anos
10762,2035,1,214846,86 anos
943,2008,0,5505609,45 a 49 anos
12492,2051,1,1506266,49 anos
2039,2018,0,1707608,33 anos
6339,2057,0,1188246,9 anos
921,2008,0,1707980,26 anos
4051,2036,0,8146911,45 a 49 anos
4279,2038,0,7979372,50 a 54 anos
1726,2015,0,5561009,50 a 54 anos
1988,2017,0,165043,82 anos
3319,2029,0,308293,81 anos
3525,2031,0,860815,69 anos
9129,2021,1,1702908,21 anos
7251,2004,1,1445068,29 anos
1093,2009,0,210390,77 anos
3995,2035,0,542216,90 anos ou mais
2618,2023,0,1222638,53 anos
11267,2040,1,1640560,45 anos
11789,2045,1,1400245,18 anos
11923,2046,1,1442303,37 anos
11705,2044,1,1510660,40 anos
8789,2018,1,1597170,15 anos
12602,2052,1,1475507,48 anos
10397,2032,1,1162649,60 anos
6973,2001,1,934028,75 a 79 anos
11270,2040,1,1597875,48 anos
9531,2024,1,301776,79 anos
727,2006,0,4281926,50 a 54 anos
6447,2058,0,1157913,6 anos
4361,2039,0,1478115,25 anos
8846,2018,1,774162,63 anos
360,2003,0,1782838,21 anos
1498,2013,0,6082367,45 a 49 anos
8739,2017,1,632781,66 anos
875,2007,0,-,80 a 84 anos
5523,2049,0,1234897,69 anos
10846,2036,1,5099560,65 a 69 anos
9010,2020,1,8042202,15 a 19 anos
13107,2057,1,1165873,6 anos
7504,2006,1,3418428,55 a 59 anos
4062,2036,0,1542164,54 anos
6938,2001,1,960068,45 anos
2593,2023,0,1685250,32 anos
8917,2019,1,8549320,30 a 34 anos
3210,2028,0,227017,83 anos
4723,2042,0,7921753,50 a 54 anos
311,2002,0,245022,73 anos
3244,2029,0,7570037,20 a 24 anos
13182,2057,1,1321900,69 anos
4424,2039,0,609437,78 anos
462,2004,0,1750616,14 anos
4642,2041,0,3464237,75 a 79 anos
367,2003,0,1495593,27 anos
11211,2040,1,112962751,Total
948,2008,0,1031289,49 anos
36,2000,0,1333441,29 anos
1712,2015,0,1502949,38 anos
12536,2051,1,1762927,85 a 89 anos
11453,2042,1,1404319,15 anos
6987,2001,1,-,85 anos
3982,2035,0,3280431,80 anos ou mais
11595,2043,1,1544199,41 anos
7841,2009,1,726445,58 anos
3273,2029,0,1655595,44 anos
351,2003,0,1775278,14 anos
3881,2034,0,174622,87 anos
10052,2029,1,1497209,50 anos
3152,2028,0,1655959,35 anos
3712,2033,0,8215289,40 a 44 anos
6619,2059,0,1438427,57 anos
3529,2031,0,722451,72 anos
11745,2044,1,865473,74 anos
4413,2039,0,992523,69 anos
3261,2029,0,1686900,34 anos
8181,2012,1,595968,64 anos
3416,2030,0,791694,70 anos
3508,2031,0,6264412,55 a 59 anos
10388,2032,1,1469163,53 anos
13046,2056,1,1410037,48 anos
11392,2041,1,1535819,57 anos
4561,2041,0,1312664,7 anos
9227,2022,1,1486473,10 anos
12457,2051,1,6826928,20 a 24 anos
9312,2022,1,246981,80 anos
3040,2027,0,8365378,35 a 39 anos
13010,2056,1,1263030,18 anos
1834,2016,0,1263860,47 anos
11747,2044,1,827776,75 anos
2529,2022,0,555543,71 anos
3736,2033,0,5630273,60 a 64 anos
3971,2035,0,898348,70 anos
11748,2044,1,783056,76 anos
11463,2042,1,1496409,24 anos
8927,2019,1,1626939,38 anos
2692,2024,0,1603889,22 anos
4308,2038,0,783716,74 anos
7654,2007,1,-,86 anos
8974,2019,1,292726,77 anos
1607,2014,0,1304256,43 anos
12598,2052,1,7335566,45 a 49 anos
5981,2053,0,2978203,80 a 84 anos
11194,2039,1,657174,77 anos
588,2005,0,1618841,26 anos
7206,2003,1,-,83 anos
7447,2006,1,1768973,7 anos
7098,2002,1,-,85 anos
13170,2057,1,1551986,59 anos
8560,2016,1,7948620,10 a 14 anos
8873,2018,1,435871,85 a 89 anos
5938,2053,0,7256745,45 a 49 anos
699,2006,0,1650634,26 anos
7856,2009,1,375872,70 anos
6989,2001,1,-,87 anos
9333,2023,1,1491792,6 anos
7813,2009,1,6735597,35 a 39 anos
1872,2016,0,230263,79 anos
9679,2026,1,1492202,17 anos
3952,2035,0,6950611,55 a 59 anos
3180,2028,0,1150681,59 anos
8212,2012,1,48396,89 anos
12045,2047,1,1582217,46 anos
8672,2017,1,1521568,10 anos
5520,2049,0,1370445,66 anos
6194,2055,0,1156828,73 anos
10682,2035,1,1521309,20 anos
12621,2052,1,1435224,64 anos
4439,2039,0,672043,90 anos ou mais
11743,2044,1,932269,72 anos
10455,2033,1,1485966,16 anos
114,2001,0,1740192,1 ano
4005,2036,0,1365113,6 anos
12450,2051,1,1277222,14 anos
3354,2030,0,1470966,19 anos
7783,2009,1,8872685,10 a 14 anos
9925,2028,1,1665865,37 anos
1789,2016,0,7948620,10 a 14 anos
5053,2045,0,1663869,47 anos
10553,2034,1,1378948,5 anos
2617,2023,0,1239893,52 anos
9440,2024,1,1491415,3 anos
4466,2040,0,1488324,20 anos
7248,2004,1,1582936,26 anos
2678,2024,0,1502444,10 anos
11734,2044,1,5964930,65 a 69 anos
8064,2011,1,743734,59 anos
10284,2031,1,1175702,59 anos
10975,2037,1,3592036,80 anos ou mais
7862,2009,1,254182,75 anos
1063,2009,0,949184,52 anos
7992,2011,1,96322635,Total
4508,2040,0,1565557,55 anos
5335,2048,0,6205831,5 a 9 anos
9741,2026,1,737524,69 anos
8601,2016,1,1305646,44 anos
558,2005,0,1595680,1 ano
5545,2049,0,374828,86 anos
4036,2036,0,1534362,32 anos
6587,2059,0,1350446,30 anos
1724,2015,0,1230098,48 anos
813,2007,0,1571904,29 anos
522,2004,0,439147,64 anos
9635,2025,1,540766,73 anos
3460,2031,0,7474403,15 a 19 anos
7854,2009,1,391907,69 anos
4972,2044,0,932269,72 anos
5871,2052,0,680263,80 anos
3472,2031,0,7767999,25 a 29 anos
1784,2016,0,1483191,5 anos
11381,2041,1,1594139,48 anos
7449,2006,1,1790603,9 anos
473,2004,0,1715612,23 anos
2654,2023,0,205161,82 anos
5317,2047,0,586059,81 anos
9575,2025,1,1600567,23 anos
208,2001,0,655228,80 anos ou mais
13227,2058,1,1215734,14 anos
6490,2058,0,1437212,42 anos
13054,2056,1,7718248,55 a 59 anos
10365,2032,1,1721784,34 anos
8023,2011,1,8629711,25 a 29 anos
3886,2035,0,6637231,0 a 4 anos
6137,2055,0,1346162,25 anos
2,2000,0,1751682,0 ano
9162,2021,1,1272932,49 anos
8314,2013,1,159654,81 anos
9319,2022,1,119050,86 anos
10669,2035,1,7310452,10 a 14 anos
3869,2034,0,512142,78 anos
11118,2039,1,1434019,14 anos
2215,2019,0,103025,86 anos
6975,2001,1,204090,76 anos
12365,2050,1,1486022,35 anos
10448,2033,1,1463491,10 anos
9785,2027,1,1501122,13 anos
515,2004,0,592912,58 anos
575,2005,0,1750882,15 anos
12797,2054,1,1359336,25 anos
6753,2060,0,1068246,76 anos
7879,2009,1,-,89 anos
1444,2013,0,7449337,0 a 4 anos
2495,2022,0,1545256,43 anos
